chart_id,index_raw,source_mode,spot,position,stack,opponent,open,bet,source_hash,source_file,compressed_file,image_width,image_height,original_size_bytes,compressed_size_bytes,original_sha256,compressed_sha256
B2_0781,035,huante,,BB,17BB,vs_1L,,,bd5823474674,035__position-BB__stack-17BB__opponent-vs_1L__huante-bd5823474674.jpg,charts/0781.webp,434,600,60405,27648,8db5a21f47f22d51a57e407f481861125b18cfc5fea59c7567b8dd47b7bc3fcc,7668806577b3039c77fd29f01d496d276a33c0aa451c9f97e7c1e331fc01533a
B2_0782,008,huante,,BB,11BB,vs_1L_REAL,,,363e4f2f518c,008__position-BB__stack-11BB__opponent-vs_1L_REAL__huante-363e4f2f518c.jpg,charts/0782.webp,434,600,59629,27116,ede7c229ee7274cc99f6f2b5fee46b208184f142505a67ea9421e55958140172,319d3c0a49d6bac08c1e1f9a7ba884d2e50434e70b935f377f682873a7806344
B2_0783,141,huante,,SB,22.5BB,UO,,,c2dd4dca1d90,141__position-SB__stack-22.5BB__opponent-UO__huante-c2dd4dca1d90.jpg,charts/0783.webp,434,600,60382,27136,6ffc6b9994e8909e990368d32401c36ad145893baed469ee1e790cf435a28c9f,a210f229ca7a1b9d1dee02ac44b502e431727144aa4a0bb627933d23f893adf2
B2_0784,076,huante,,BB,34-42BB,vs_4BP_REAL,,,37ccfb3c2168,076__position-BB__stack-34-42BB__opponent-vs_4BP_REAL__huante-37ccfb3c2168.jpg,charts/0784.webp,434,600,36735,15214,c53d45ed229548f5ce27e4e19615df8861b2f861ea1085541bfa768f2ef2a1c3,eaf6286db1277180e23e8eec5205d030b19bb76dcb58bd1f519f4d859524a148
B2_0785,040,huante,,BB,18BB,vs_1L,,,ce6ee616fb5e,040__position-BB__stack-18BB__opponent-vs_1L__huante-ce6ee616fb5e.jpg,charts/0785.webp,434,600,60359,27784,e369b448c3e22647d7c8015386b93fac3ada439a6b9593e8a657cc07a20c0ca5,6ba5f4a884121503ac677bbb7706e51ff2e83bec341d7a04687da57c7601783e
B2_0786,161,huante,,SB,6BB,Limp_vs_Push,,,8042a6536598,161__position-SB__stack-6BB__opponent-Limp_vs_Push__huante-8042a6536598.jpg,charts/0786.webp,434,600,45579,20064,d271478a94404d239803ab1e0388fab80794f73cffee373ec844aa882fa23860,2b4434e318d18fe1ba3cdc922487d5124b5759fa4d11d44c7457e380d9b9e9bb
B2_0787,115,huante,,SB,13BB,1R_vs_Push,,,7a12953be696,115__position-SB__stack-13BB__opponent-1R_vs_Push__huante-7a12953be696.jpg,charts/0787.webp,434,600,37826,15948,056358d75dd5f11a5e75804fde92fed4c92ca075e398a52fec86ddd2148130b5,135d493be23a4489d2e2871730d8bf132a36a653fb56d8b19567d8af6058d55c
B2_0788,140,huante,,SB,22.5BB,Limp_vs_Push,,,acfb5ad02261,140__position-SB__stack-22.5BB__opponent-Limp_vs_Push__huante-acfb5ad02261.jpg,charts/0788.webp,434,600,33803,13714,ecac60c757925eb5d59b4e34889a774c0edb18ca019bed5e6e9a6d84781fa1ac,3fa2b58c7fd6d87377f03e3e0cda250a6777fe61720dfde5b502cb0a2216ff9e
B2_0789,051,huante,,BB,20BB,vs_1L,,,b9d566cdbf5b,051__position-BB__stack-20BB__opponent-vs_1L__huante-b9d566cdbf5b.jpg,charts/0789.webp,434,600,60700,27532,1453b98c33684d7f3409324554dd35b17231d4e9603c80c29e8fd03b83f1f36a,5b64707f10a6cc468e74c6ef7b9f190274ea358de60b4e48d68bc2b4cbbe70da
B2_0790,111,huante,,SB,11BB,UO,,,4fc66f479acb,111__position-SB__stack-11BB__opponent-UO__huante-4fc66f479acb.jpg,charts/0790.webp,434,600,58866,26316,5b42d12cc2e24a2fcc1792e7323f9f0683bd4080e8080e1b56bf7882bcc64f90,ded49fd447809288024f67100abd8da9df2348fcf9bfc9b764e9504345c2e698
B2_0791,073,huante,,BB,30BB,vs_1R,,,2953b0846ee0,073__position-BB__stack-30BB__opponent-vs_1R__huante-2953b0846ee0.jpg,charts/0791.webp,434,600,56692,25826,ada1103326edda984e50606df3397851ac61cad5684ba4786e1067bdd5150645,31f403973cd2a94cbe4f56845980cdb6b038d860ad70b32d53ffa42724236f69
B2_0792,126,huante,,SB,16BB,UO,,,1b5af6ea1315,126__position-SB__stack-16BB__opponent-UO__huante-1b5af6ea1315.jpg,charts/0792.webp,434,600,61167,27378,b12f4abe10333f004ab71219ec9e489755e130e80b56a2581c97d1b6f60cf076,31a4cb2db25cacf840f09c136a2aa5b9220623c1934dd65fb92d94c886c671a5
B2_0793,039,huante,,BB,17BB,vs_PUSH,,,3e982067da18,039__position-BB__stack-17BB__opponent-vs_PUSH__huante-3e982067da18.jpg,charts/0793.webp,434,600,35908,15056,e16e6a32f5379a43dfd83d3d93b1c4c77aa82d95e9947e893dd3bf27c2c647c2,9def4d4984500d31062a0326b4d90c94f75fde4044499ca358bc480a3b1be378
B2_0794,172,huante,,SB,9BB,UO,,,1c30fafe7bc8,172__position-SB__stack-9BB__opponent-UO__huante-1c30fafe7bc8.jpg,charts/0794.webp,434,600,55559,25130,831c5cd74d293daec9a760bd0b61fdced2e044f5979cc130536fbcc01e32df31,2021bb25eb5f210903dc0c10142b60c4dd3d75338c5f62591f20af81c0313cd4
B2_0795,150,huante,,SB,3BB,1R_vs_Push,,,dcb9cb78a8b6,150__position-SB__stack-3BB__opponent-1R_vs_Push__huante-dcb9cb78a8b6.jpg,charts/0795.webp,434,600,53101,23746,ab0309ce2e1dbaea5d18200d7bfd5d80508b7768a1183e9ea70e8ee52e210d7f,503a4f7eff3f38f0dbf73990bd127892d3c63c9f141021689a7e10a9ad0c763d
B2_0796,165,huante,,SB,7BB,Limp_vs_Push,,,0ec23395a3a1,165__position-SB__stack-7BB__opponent-Limp_vs_Push__huante-0ec23395a3a1.jpg,charts/0796.webp,434,600,43407,18984,a7afc5d34b752c0c65074782af011892d8176c5e6106e389d01090977ed7576b,e898b1f2f720aeb10df420c0ef36b7f640b3e3d1bfe1772acb9e2c889eab746e
B2_0797,136,huante,,SB,20BB,1R_vs_Push,,,fe9ab389c232,136__position-SB__stack-20BB__opponent-1R_vs_Push__huante-fe9ab389c232.jpg,charts/0797.webp,434,600,34322,14050,ac1c2e7b6c8d15f3c83462f2762b66043b61935d5e3824abad8958c42d8997ec,a34d5e87d04b0ec6de150b8d89521066f81ccb6c7e359740c5c9ebb1b675eba3
B2_0798,156,huante,,SB,50BB,UO,,,8ed23d56cf4d,156__position-SB__stack-50BB__opponent-UO__huante-8ed23d56cf4d.jpg,charts/0798.webp,434,600,60457,27520,eea2fcf7f2cd513093bbbce5a134644070ab9444f155414ff7e436a1df4702f9,75f9a88cb875208107d7d9d5d05220c0250104797fccb746fc6a2e341fbcf963
B2_0799,135,huante,,SB,19BB,UO,,,6d15e48cf84c,135__position-SB__stack-19BB__opponent-UO__huante-6d15e48cf84c.jpg,charts/0799.webp,434,600,60785,27404,9e8c1c8444c1a5bece96bacc340b87e6c80372ee36b1b481cf9a77dc130ab737,3c64ec5d076169ca29a008adc8235487066231514c185f641ed748b52fc6f47e
